id,const,row_max,row_min,row_ever,row_fangcha,colum_max,colum_min,colum_ever,colum_fangcha,neg_max,neg_min,neg_ever,neg_fangcha,dianli_max,dianli_min,dianli_ever,dianli_fangcha,sur_row,sur_colum,sur_neg,sur_dianli,center_elec_num,sur_elec_num,plus1,plus2,plus3,plus4,plus5,plus6,plus7,plus8,plus9,plus10,plus11,plus12,is_daoti,bulk_gap,gap,efm
569960,1,4,4,4,0,12,12,12,0,1.65,1.65,1.65,0,906.4,906.4,906.4,0,4,17,2.96,1139.9,12,7,2.7225,1880.835,1880.835,2.7225,2.7225,1299372.01,16,3537540.297,3537540.297,7523.34,7523.34,3537540.297,2,5,2.936528,4.223573
569964,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.261362,1.924914
569994,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260228,1.917038
570019,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.261624,1.924162
570054,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.266041,0.725912
570082,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.261714,1.924412
570089,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.265887,1.92176
570127,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.261062,1.92788
570165,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.261721,1.925466
570172,1,6,5,5.5,0.25,17,12,14.5,6.25,2.66,2,2.33,0.1089,1008.4,1007.1,1007.75,0.4225,4,17,2.96,1139.9,12,7,6.1978,3032.134,2655.967,7.0756,5.4289,1299372.01,25,9193836.594,7054160.705,15160.67,13279.835,8053247.844,2,5,1.663311,1.046262
570219,1,5,5,5,0,13,13,13,0,1.78,1.78,1.78,0,558.3,558.3,558.3,0,4,17,2.96,1139.9,3,7,3.1684,2029.022,2029.022,3.1684,3.1684,1299372.01,25,4116930.276,4116930.276,10145.11,10145.11,4116930.276,2,5,2.863319,1.113779
570259,1,3,3,3,0,2,2,2,0,1.31,1.31,1.31,0,737.7,737.7,737.7,0,3,17,3.16,1251.2,2,7,1.7161,1639.072,1639.072,1.7161,1.7161,1565501.44,9,2686557.021,2686557.021,4917.216,4917.216,2686557.021,2,5,5.987821,4.296443
570263,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260953,1.925717
570314,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260133,1.917537
