,id,const,row_max,row_min,row_ever,row_fangcha,colum_max,colum_min,colum_ever,colum_fangcha,neg_max,neg_min,neg_ever,neg_fangcha,dianli_max,dianli_min,dianli_ever,dianli_fangcha,sur_row,sur_colum,sur_neg,sur_dianli,center_elec_num,sur_elec_num,plus1,plus2,plus3,plus4,plus5,plus6,plus7,plus8,plus9,plus10,plus11,plus12,is_daoti,bulk_gap,gap,efm
60,567504,1,4,4,4.0,0.0,6,6,6.0,0.0,1.66,1.66,1.66,0.0,652.9,652.9,652.9,0.0,3,17,3.16,1251.2,6,7,2.7556,2076.992,2076.992,2.7556,2.7556,1565501.44,16,4313895.768,4313895.768,8307.968,8307.968,4313895.768,0.0,2.67395915,0.11603499999999999,0.57429
61,567534,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.2605459999999997,1.9167880000000002
62,567567,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.2603869999999997,1.925466
63,568233,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.264303,1.9135520000000001
64,568245,1,5,5,5.0,0.0,5,5,5.0,0.0,1.6,1.6,1.6,0.0,652.1,652.1,652.1,0.0,4,17,2.96,1139.9,5,7,2.56,1823.84,1823.84,2.56,2.56,1299372.01,25,3326392.3460000004,3326392.3460000004,9119.2,9119.2,3326392.3460000004,0.0,1.94985051,1.420031,1.164685
65,568289,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.259778,0.722908
66,568301,1,6,6,6.0,0.0,15,15,15.0,0.0,2.02,2.0,2.02,0.0,703.0,703.0,703.0,0.0,4,17,2.96,1139.9,5,7,4.0804,2302.598,2302.598,4.0804,4.0804,1299372.01,36,5301957.55,5301957.55,13815.588,13815.588,5301957.55,0.0,2.18878873,2.930389,2.135398
67,568394,1,5,5,5.0,0.0,6,6,6.0,0.0,2.16,2.0,2.16,0.0,684.3,684.3,684.3,0.0,3,17,3.16,1251.2,6,7,4.6656,2702.592,2702.592,4.6656,4.6656,1565501.44,25,7304003.517999999,7304003.517999999,13512.96,13512.96,7304003.517999999,1.0,0.0,0.11456,6.36715
68,568690,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,4,17,2.96,1139.9,12,7,2.8561,1926.431,1926.431,2.8561,2.8561,1299372.01,25,3711136.398,3711136.398,9632.155,9632.155,3711136.398,1.0,0.0,3.097991,10.284308
69,568722,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,4,17,2.96,1139.9,12,7,2.8561,1926.431,1926.431,2.8561,2.8561,1299372.01,25,3711136.398,3711136.398,9632.155,9632.155,3711136.398,0.0,1.97797778,3.0965759999999998,3.6613870000000004
